Id,Title,Original Title,Original Language,Overview,Revenue,Budget,Runtime,Release Date,Vote Average,Vote Count,Genres,Production Companies,Production Countries,Spoken Languages,Director,Stars,PosterFile
55208,Clash,Bẫy Rồng,vi,"Trinh, một lính đánh thuê, phải hoàn thành một loạt công việc tội phạm có tổ chức cho ông chủ của mình để giành được sự giải thoát cho cô con gái bị bắt cóc. Cô thuê một số lính đánh thuê để giúp đỡ, trong đó có Quân, người mà cô bị thu hút. Mối quan hệ của Trinh và Quân trở nên phức tạp khi rõ ràng động cơ của họ không giống nhau.",27052,1500000,90,09/12/2009,5.9,532,"['Action', 'Thriller', 'Romance']",['Chanh Phuong Phim'],['Vietnam'],['Tiếng Việt'],Thanh Son Le,"['Johnny Tri Nguyen', 'Veronica Ngo', 'Hoang Phuc Nguyen']",posters\Bẫy_Rồng.jpg
1255517,Nhà Bà Nữ,Nhà Bà Nữ,vi,"Bà Nữ (Lê Giang) là một mẫu hệ độc đoán, điều hành gia đình ba thế hệ của mình giống như cách bà điều hành quán bún riêu thành công của mình. Nói tóm lại, cô ấy điều hành một con tàu chặt chẽ trong mọi khía cạnh của cuộc sống. Tuy nhiên, khi ba thế hệ cùng chung sống dưới một mái nhà, tia lửa chắc chắn sẽ bay ra - và không nhất thiết phải là tia lửa tốt. Cảm thấy ngột ngạt trước ánh mắt áp bức của mẹ, cô con gái út Nhị (Uyên An) của Nu quyết định bỏ trốn theo người bạn trai vô tư John (Song Luân). Nhưng cặp đôi trẻ sớm nhận ra rằng họ chưa chuẩn bị sẵn sàng cho tương lai cùng nhau như thế nào. Thời gian trôi qua, những người phụ nữ nhà Nu dần dần hòa giải, mỗi người đều tìm hiểu về bản thân và nhau trên đường đi.",19490980,1377680,103,11/01/2023,6.1,448,"['Drama', 'Comedy']",['Trấn Thành Town'],['Vietnam'],['Tiếng Việt'],Tran Thanh,"['Huynh Uyen An', 'Le Giang', 'Ngoc Giau', 'Song Luan', 'Ngoc Giau', 'Kha Nhu', 'Tran Thanh']",posters\Nhà_Bà_Nữ.jpg
494053,Head Rush,Lôi Báo,vi,"Một người đàn ông sắp chết vì bệnh nan y được phẫu thuật thay thế cơ thể thử nghiệm. Anh sớm phát hiện ra rằng mình có những ký ức không phải của riêng mình cùng với sức mạnh siêu phàm. Tuy nhiên, lịch sử đen tối của quá trình điều trị trở nên gắn chặt với cuộc đời anh khi anh phải sống sót và giữ an toàn cho những người thân yêu của mình.",0,1180638,113,22/12/2017,5.7,165,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",['November Films'],['Vietnam'],['Tiếng Việt'],Victor Vu,"['Cuong Seven', 'Nha Phuong', 'Ngoc Anh Vu', 'Chanh Tin Nguyen', 'Quach Ngoc Ngoan']",posters\Lôi_Báo.jpg
913857,Maika: The Girl From Another Galaxy,Maika - Cô Bé Đến Từ Hành Tinh Khác,vi,"Mọi chuyện có thể tốt hơn với cậu bé Hùng 8 tuổi đang đau buồn vì mất mẹ đã qua đời một năm trước. Mối quan hệ của anh với cha mình trở nên căng thẳng, người bạn thân nhất của anh sắp chuyển đi nơi khác, và trên hết, một tên chủ nhà tham lam đang bắt nạt cha anh để buộc họ rời khỏi căn hộ của mình. Anh tìm thấy niềm an ủi bằng cách ngắm bầu trời đêm từ nóc tòa nhà chung cư của mình. Một đêm nọ, anh chứng kiến ​​một trận mưa sao băng và một ngôi sao rơi nhầm chỗ ở vùng nông thôn gần đó. Anh điều tra, nhưng thay vì tìm thấy một ngôi sao băng, anh gặp một người bạn mới và anh quyết định làm mọi thứ có thể để giúp cô ấy.",346124,1180404,105,03/06/2022,6.1,110,"['Science Fiction', 'Family', 'Adventure']","['BHD Co., Ltd', 'East Films']",['Vietnam'],['Tiếng Việt'],Ham Tran,"['Tom Dang', 'Dom Dinh', 'Elyse Dinh', 'Chu Diep Anh']",posters\Maika_-_Cô_Bé_Đến_Từ_Hành_Tinh_Khác.jpg
544812,The Third Wife,Vợ ba,vi,"Dù chỉ mới 14 tuổi nhưng Mây được chọn làm vợ thứ ba của một địa chủ giàu có. Ngôi nhà mới của cô có vẻ bình dị, được chồng ưu ái và cô nhanh chóng mang thai đứa con mà cô chắc chắn sẽ là con trai như mong muốn. Nhưng rắc rối đang âm thầm ập đến: cô chứng kiến ​​một cuộc hẹn hò bị cấm sẽ gây ra một chuỗi phản ứng bất hạnh - và khuấy động vào tháng Năm thôi thúc rằng cho đến nay vẫn chưa hoạt động.",336218,1101710,96,15/05/2019,6.6,541,['Drama'],"['Ân Nam Films', 'Three Colors Productions', 'Mayfair Pictures']",['Vietnam'],['Tiếng Việt'],Nguyen Phuong Anh,"['Hong Chuong Nguyen', 'Long Le Vu', 'Nu Yên-Khê Tran']",posters\Vợ_ba.jpg
386084,Sweet 20,Em Là Bà Nội Của Anh,vi,"Bà Đại, một bà ngoại 70 tuổi chợt phát hiện mình đã biến thành con người 20 tuổi của mình. Phong cách và cách cư xử lỗi thời của cô gây ra một số rắc rối, nhưng tình yêu có thể là vấn đề lớn nhất.",3810429,1100000,127,11/12/2015,6.9,530,['Comedy'],"['HKFilm', 'CJ Entertainment']",['Vietnam'],['Tiếng Việt'],Phan Gia Nhat Linh,"['Hong-Anh', 'Vi Van Hua', 'Ngo Kien Huy']",posters\Em_Là_Bà_Nội_Của_Anh.jpg
567973,Furie,Hai Phượng,vi,"Khi một bé gái bị một đường dây buôn người bắt cóc, họ sớm nhận ra mình đã nhầm nhầm đứa trẻ. Mẹ của cô, một cựu thủ lĩnh băng đảng khét tiếng, đang theo sát dấu vết của họ và sẽ làm mọi cách để đưa con mình về nhà.",5756185,1000000,98,22/02/2019,6.3,487,"['Action', 'Drama', 'Thriller']","['Premiere Picture', 'Studio68']",['Vietnam'],['Tiếng Việt'],Le-Van Kiet,"['Veronica Ngo', 'Mai Cát Vi', 'Thanh Nhien Phan']",posters\Hai_Phượng.jpg
411837,Tam Cam: The Untold,Tấm Cám Chuyện Chưa Kể,vi,"“Tấm Cám: Chuyện Chưa Kể” được lấy cảm hứng từ truyện cổ tích Tấm Cám. Cha mất sớm, mẹ kế và Cám bắt nạt Tâm cho đến khi cô gặp Hoàng tử (Isaac) và trở thành vợ anh. Tuy nhiên, câu chuyện của phim vẫn chưa được nhắc đến nhiều trong truyện cổ tích Cô bé Lọ Lem, đây sẽ là lần đầu tiên Ngô Thanh Vân truyền tải phim sử dụng hình ảnh mới lạ và độc đáo.",2754822,1000000,90,19/08/2016,5.4,389,"['Drama', 'Fantasy']",[],['Vietnam'],['Tiếng Việt'],Veronica Ngo,"['Ha Vi', 'Ninh Duong Lan Ngoc', 'Veronica Ngo']",posters\Tấm_Cám_Chuyện_Chưa_Kể.jpg
682201,Nightmares,Vô Diện Sát Nhân,vi,Một bác sĩ trẻ thành đạt thường xuyên bị ám ảnh bởi những cơn ác mộng về một kẻ giết người bí ẩn dường như không chỉ theo đuổi cô trong giấc mơ.,202654,1000000,87,26/08/2022,4.5,39,['Horror'],[],['Vietnam'],['Tiếng Việt'],Dinh Cong Hieu,"['Phuong Anh Dao', 'Oanh Kieu', 'Hieu Nguyen']",posters\Vô_Diện_Sát_Nhân.jpg
3701078,Let Hoi Decide,Để Mai Tính 2: Để Hội Tính,vi,Một doanh nhân chuyển giới Việt Nam trở nên nghèo khó mỗi khi yêu ai đó.,4750000,1000000,95,12/12/2014,5.7,115,"['Comedy', 'Romance']","['CJ Entertainment', 'Chanh Phuong Phim', 'Early Risers Media Group']","['Vietnam', 'South Korea']",['Tiếng Việt'],Charlie Nguyen,"['Thai Hoa', 'Cory Jackson', 'Huy Khanh']",
143653,Sword of the Assassin,Thiên Mệnh Anh Hùng,vi,"Nguyên Vũ là người sống sót duy nhất trong gia đình bị hoàng hậu Việt Nam xử tử. Khi phát hiện ra rằng gia đình mình có thể đã bị buộc tội vì những tội ác mà họ không hề phạm phải, anh bắt đầu đi tìm công lý và minh oan cho gia đình mình.",645415,983865,100,20/01/2012,6.2,864,"['Adventure', 'Drama', 'Action']",['Saiga Films'],['Vietnam'],['Tiếng Việt'],Victor Vu,"['Huynh Dong', 'Midu', 'Khuong Ngoc']",posters\Thiên_Mệnh_Anh_Hùng.jpg
1016737,Muoi: The Curse Returns,Mười: Lời Nguyền Trở Lại,vi,"Khi một người bán tranh trẻ bất ngờ làm hòa với người bạn thân đã mất từ ​​lâu của mình, cả hai bị cuốn vào một loạt sự kiện siêu nhiên đáng sợ tại một dinh thự bí ẩn, nơi một linh hồn khét tiếng bị mắc kẹt trong một bức tranh đang ẩn nấp để giải phóng lời nguyền thế kỷ của nó một lần nữa. .",984397,950000,0,30/09/2022,4.6,147,"['Horror', 'Drama']",['Silver Moonlight Entertainment'],['Vietnam'],['Tiếng Việt'],Hang Trinh,"['Hong-Anh', 'Binh Minh', 'Chi Pu']",posters\Mười_Lời_Nguyền_Trở_Lại.jpg
787459,"Dad, I'm Sorry",Bố Già,vi,"Câu chuyện về Ba Sang – con thứ 2 trong 4 anh em ồn ào: Giàu, Sáng, Phú, Quý. Ba Sang là người hay can thiệp, “quá” tốt bụng và luôn hy sinh vì người khác dù họ có muốn hay không. Quân – Con trai Ba Sang là một Youtuber trẻ hiện đại.",17480489,905332,128,12/03/2021,9.2,1100,"['Comedy', 'Family', 'Drama']","['HK Film', 'Trấn Thành Town', 'Galaxy Studio']",['Vietnam'],['Tiếng Việt'],Tran Thanh,"['Tran Thanh', 'Tuan Tran', 'Le Giang']",posters\Bố_Già.jpg
579603,Trạng Quỳnh,Trạng Quỳnh,vi,Một kẻ chơi khăm thông minh cố gắng minh oan cho người thầy yêu quý của mình khỏi một bản án rắc rối liên quan đến một quan chức gian ác.,2857682,865801,98,05/02/2019,4.6,145,"['Comedy', 'Adventure']",[],['Vietnam'],['Tiếng Việt'],Duc Thinh,"['Tran Quoc Anh', 'Cong Duong', 'Kha Nhu', 'Nha Phuong', 'Tran Thanh']",posters\Trạng_Quỳnh.jpg
31438076,"Dao, Pho va Piano","Đào, Phở và Piano",vi,"Giữa trận chiến cuối cùng ở Hà Nội năm 1946, một chiến binh Hà Nội thuộc Lực lượng Phòng vệ đang thực hiện nhiệm vụ lấy thêm vũ khí. Để trốn tránh quân Pháp, ông trú ẩn tại nhà của 2 gánh phở ven đường. Cặp đôi mời anh một bát phở, miễn là anh giúp họ tìm hẹ.",670785,843403,100,10/02/2024,6,102,"['Drama', 'Romance', 'War']",[],['Vietnam'],['Tiếng Việt'],Phi Tien Son,"['Doan Quoc Dam', 'Tuan Hung', 'Cao Thi Thuy Linh']",
786170,The Guardian,Thiên Thần Hộ Mệnh,vi,"Bi kịch xoay quanh ngôi sao nhạc pop đã đưa ca sĩ dự bị của cô trở nên nổi tiếng, nhưng ngôi sao mới lại bị cản trở bởi những hiện tượng siêu nhiên.",1574184,787092,127,30/04/2021,5.6,471,"['Thriller', 'Drama', 'Horror']","['Lotte Entertainment', 'November Films']",['Vietnam'],['Tiếng Việt'],Victor Vu,"['Amee', 'Samuel An', 'Trúc Anh']",posters\Thiên_Thần_Hộ_Mệnh.jpg
663745,Camellia Sisters,Gái Già Lắm Chiêu 3,vi,"Khi người dẫn chương trình truyền hình đến quê hương của vị hôn phu để khám phá một bí mật showbiz, cô biết được mẹ chồng tương lai đang tìm cách ngăn cản đám cưới của họ.",5830719,786936,118,25/01/2020,4.8,176,[],"['Galaxy Studios', 'Lotte Entertainment']",['Vietnam'],['Tiếng Việt'],Nam Cito,"['Khanh Le', 'Ninh Duong Lan Ngoc', 'Le Xuan Tien', 'Thuy Anh', 'Kaity Nguyen', 'Le Khanh', 'Jun Vu' ,'Phuong Lan', 'Hong Van', 'Lam Vissay', 'Hoang Dung, 'Binh An']",posters\Gái_Già_Lắm_Chiêu_3.jpg
937313,Naked Truth,Bẫy Ngọt Ngào,vi,"Một câu chuyện sâu sắc, khéo léo cân bằng giữa sự nhẹ nhàng và hấp dẫn, Bảy Ngọc Ngao (Sự thật trần trụi) xoay quanh bốn người bạn thời thơ ấu từng điên cuồng quyết tâm thoát khỏi cuộc sống độc thân. Sau nhiều năm xa cách, họ vui vẻ đoàn tụ để kỷ niệm 3 năm ngày cưới của người kế vị duy nhất của nhóm đi tìm hạnh phúc hôn nhân. Cuộc hội ngộ của họ có một bước ngoặt đáng kinh ngạc khi từng lớp một, những cuộc đời bị che giấu được tiết lộ, nhốt mỗi nhân vật trong một mạng lưới bí mật nguy hiểm rối rắm có nguy cơ đẩy các mối quan hệ bấp bênh đến bờ vực. Bảy Ngọt Ngao (Sự thật trần trụi) kể về sức mạnh của tình bạn lâu năm, bóng tối tiềm ẩn của nạn bạo hành gia đình và sức mạnh giải phóng cá nhân. Đạo diễn Đinh Hà Uyên Thư. Được sản xuất bởi Live On. Phát hành tại Mỹ bởi 3388 Films.",3628553,786936,92,11/02/2022,4.8,130,"['Drama', 'Thriller']","['CJ HK Entertainment', 'LiveOn']",['Vietnam'],['Tiếng Việt'],Ha Uyen Thu Dinh,"['Bao Anh', 'Minh Hang', 'Thuan Nguyen']",posters\Bẫy_Ngọt_Ngào.jpg
31523149,A Fragile Flower,Đóa hoa mong manh,vi,Nữ ca sĩ Việt nở rộ với giọng hát mê hoặc và tâm hồn dịu dàng trải nghiệm sự kiên cường và hy vọng giữa những khó khăn cá nhân.,147917,786400,96,29/03/2024,4.2,57,"['Drama', 'Music', 'Romance']",['Tincom Media'],"['Vietnam', 'United States of America']",['Tiếng Việt'],Mai Thu Huyen,"['Mai Thu Huyen', 'Maya', 'Quoc Cuong']",
451436,Diary of Fireflies,Cho Em Gần Anh Thêm Chút Nữa,vi,"Đau buồn trước sự ra đi của cả cha lẫn mẹ vì căn bệnh ung thư, một sinh viên y khoa bỏ học và gặp một nhiếp ảnh gia chuyên chụp ảnh thương hiệu lửa với niềm khao khát cuộc sống.",0,700000,95,02/12/2016,5.7,21,"['Comedy', 'Romance']",['Yeah1 CMG'],['Vietnam'],['Tiếng Việt'],Van Cong Vien,"['Vo Dinh Hieu', 'Jun Vu', 'Hong Dao']",posters\Cho_Em_Gần_Anh_Thêm_Chút_Nữa.jpg
464003,Jailbait,Em Chưa 18,vi,Cuộc đời của một tay chơi thay đổi sau khi anh gặp và ngủ với một cô gái chưa tròn 18 tuổi.,0,674722,96,28/04/2017,6.5,645,"['Drama', 'Comedy']","['HKFilm', 'Chánh Phương Phim', 'Cinebox']",['Vietnam'],['Tiếng Việt'],Thanh Son Le,"['Alex', 'Chau Bui', 'Jackie']",posters\Em_Chưa_18.jpg
545765,Face Off 3: Imperfect Trio,Lật Mặt 3: Ba Chàng Khuyết,vi,"Bị bỏ rơi khi còn nhỏ, ba người bạn khuyết tật nổi tiếng trên truyền hình — dẫn họ vào cuộc phiêu lưu tìm kiếm người mẹ đã bỏ rơi một trong số họ.",3584465,669159,102,17/04/2018,6,73,"['Comedy', 'Adventure']",[],['Vietnam'],['Tiếng Việt'],Ly Hai,"['Huy Khanh', 'Song Luan', 'Pornnappan Pornpenpipat']",posters\Lật_Mặt_3_Ba_Chàng_Khuyết.jpg
594427,Face Off 4: The Walking Guests,Lật Mặt 4: Nhà Có Khách,vi,"Khi một người phụ nữ và bạn bè về thăm quê hương để tìm địa điểm chụp ảnh cưới cho khách hàng, nỗi kinh hoàng đã chuyển hướng tập trung của họ.",5060421,669159,100,12/04/2019,5.3,120,"['Comedy', 'Horror']","['CJ CGV Viet Nam', 'Hoang Phuc International', 'Ly Hai Production']",['Vietnam'],"['Tiếng Việt', 'Tiếng Anh']",Ly Hai,"['Ly Hai', 'Huy Khanh', 'Jay Quan']",posters\Lật_Mặt_4_Nhà_Có_Khách.jpg
2559094,Bẫy Cấp 3,Bẫy Cấp 3,vi,Năm người bạn cùng nhau đi du lịch để thoát khỏi cuộc sống xô bồ của Sài Gòn. Điều hứa hẹn là một cuộc phiêu lưu khó quên đối với những người bạn này đã trở thành cơn ác mộng mà tất cả họ đều muốn quên nếu họ sống sót.,0,600000,90,18/05/2012,6.5,14,['Thriller'],[],['Vietnam'],['Tiếng Việt'],Le-Van Kiet,"['Khac Duy Nguyen', 'Minnie Nguyen', 'Thi Kieu Trinh Nguyen']",
1163175,Touch Happiness,Chạm Vào Hạnh Phúc,vi,Câu chuyện là một xã hội thu nhỏ với những quan điểm về tình yêu và giá trị cuộc sống. Hãy để các nhân vật thốt lên rằng “Khi yêu thì tuổi nào cũng dại”. Ẩn sâu trong câu chuyện tình yêu và giá trị gia đình là sự đấu tranh tư tưởng và những bài học của thời đại.,5095.7,590434,109,01/09/2023,7.5,56,"['Comedy', 'Romance', 'Drama']",[],['Vietnam'],['Tiếng Việt'],Mai Long,"['Nhu Quynh', 'Quang Teo', 'Doi Anh Quan']",posters\Chạm_Vào_Hạnh_Phúc.jpg
464913,The Girl from Yesterday,Cô Gái Đến Từ Hôm Qua,vi,"Một cậu thiếu niên gây ra vấn đề hàng ngày. Anh yêu một cô học sinh chuyển trường và trở nên thân thiết với cô ấy, nhưng anh vẫn luôn nghĩ về mối tình đầu thuở còn thơ ấu mà anh không thể thổ lộ tình cảm của mình.",0,560000,124,21/07/2017,6.9,336,"['Comedy', 'Romance']",[],['Vietnam'],['Tiếng Việt'],Phan Gia Nhat Linh,"['Le Ha Anh', 'Hoang Yen Chibi', 'Ngo Kien Huy']",posters\Cô_Gái_Đến_Từ_Hôm_Qua.jpg
8101316,Liberation of Saigon,Giải Phóng Sài Gòn,vi,Câu chuyện giải phóng Sài Gòn của Quân đội Nhân dân Việt Nam và Mặt trận Dân tộc Giải phóng miền Nam Việt Nam ngày 30 tháng 4 năm 1975.,0,526780,121,30/04/2005,7.4,8,"['Drama', 'History', 'War']",['Vietnam Feature Film Studio'],['Vietnam'],"['Tiếng Việt', 'Tiếng Anh']",Long Vân,"['Pham Cuong', 'Quang Dai', 'Tom Du Can']",
504824,Face Off: The Studio,Lật Mặt 2: Phim Trường,vi,A movie of Ly Hai Director (Vietnamese),3373614,472347,90,29/04/2016,4.4,76,['Action'],['Ly Hai Production'],['Vietnam'],['Tiếng Việt'],Ly Hai,"['Hua Minh Dat', 'Ly Hai', 'Vo Dinh Hieu']",posters\Lật_Mặt_2_Phim_Trường.jpg
462252,Lô Tô,Lô Tô,vi,"“Lotto” là câu chuyện xoay quanh cuộc đời của Lê Liễu – “trái đào” chính của làng lô tô Phú Hòa. Lê Liễu vốn là một người tên Nam. Con đực lớn lên và phải kết hôn như những người đàn ông khác. Cho đến một ngày Nam quyết định rời xa gia đình để đi theo sự thôi thúc trong tâm trí, anh đến với nhóm bingo để sống với con người thật của mình và với khát vọng của mình dù cuộc sống bộn bề, cô đơn, loạng choạng như đầu máy hát đây đó. ..",1180869,393623,90,31/03/2017,6.9,74,"['Family', 'Comedy']",[],['Vietnam'],['Tiếng Việt'],Huynh Tuan Anh,"['Nam Em' ,'Trinh Xuan Nhan', 'Hai Trieu' ,'Nguyen Trung Dan', 'Phuong Thanh' ,'Binh Minh', 'Long Nhat', 'Quang Trung', 'Lap Huynh']",posters\Lô_Tô.jpg
1151141,Ma Nữ Báo Thù,Ma Nữ Báo Thù,vi,"Sau một thời gian yêu nhau, luật sư Huy theo bạn gái về quê giới thiệu gia đình cô. Tuy nhiên, chuyến đi không hề yên bình như Huy nghĩ. Kể từ khi về ở trong căn biệt thự cổ của nhà họ Lân, Huy luôn mơ thấy một cô gái trẻ đến tìm mình...",8737253,393623,93,03/06/2016,6.1,21,['Horror'],[],['Vietnam'],['Tiếng Việt'],Vinh Khuong,"['Hoang Phuc', 'Truong Nam Thanh', 'Trinh Kim Chi']",posters\Ma_Nữ_Báo_Thù.jpg
405886,Face Off,Lật Mặt,vi,"Sau khi khai quật được những viên kim cương ở vùng hoang dã, một người đàn ông bị một băng đảng giết người săn lùng và phải chạy trốn chúng nhờ sự giúp đỡ của một người bạn mới quen.",3036252,393623,95,11/03/2015,5.5,79,['Comedy'],['Ly Hai Production'],['Vietnam'],['Tiếng Việt'],Ly Hai,"['Truong Giang', 'Nam Thu', 'Kim Xuan', 'Cat Phuong']",posters\Lật_Mặt.jpg
364809,Little Teo,Tèo Em,vi,Bộ phim hài đường phố không khuyến khích khán giả dưới 16 tuổi kể về Ti Anh (Johnny Trí Nguyễn thủ vai) và Tèo Em (Thái Hoà thủ vai) – hai anh em cùng cha khác mẹ với tính cách trái ngược nhau. Phim kể về chuyến phiêu lưu của họ khi đến thị trấn Sa Đéc để cứu vãn mối tình của Ti Anh.,3148368,393546,99,20/12/2013,6.6,316,['Comedy'],[],['Vietnam'],['Tiếng Việt'],Charlie Nguyen,"['Thai Hoa', 'Johnny Tri Nguyen', 'Ninh Duong Lan Ngoc']",posters\Tèo_Em.jpg
